Kommunkod;Kommun;Folkmängd 31 december 2020;Huvudgrupp kod;Huvudgrupp namn;Kommungrupp kod;Kommungrupp 2017 namn;Länskod;Län;Region;;;;;;;;;;;;;;;;;;;;;;;
0114;Upplands Väsby;47 184;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0115;Vallentuna;34 119;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0117;Österåker;46 644;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0120;Värmdö;45 566;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0123;Järfälla;81 274;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0125;Ekerö;28 879;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0126;Huddinge;113 234;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0127;Botkyrka;94 847;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0128;Salem;16 959;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0136;Haninge;93 690;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0138;Tyresö;48 678;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0139;Upplands-Bro;30 195;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0140;Nykvarn;11 222;B;Större städer och kommuner nära större stad;4;Pendlingskommun nära större stad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0160;Täby;72 755;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0162;Danderyd;32 712;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0163;Sollentuna;73 990;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0180;Stockholm;975 551;A;Storstäder och storstadsnära kommuner;1;Storstäder;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0181;Södertälje;100 111;B;Större städer och kommuner nära större stad;3;Större stad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0182;Nacka;106 505;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
0183;Sundbyberg;52 801;A;Storstäder och storstadsnära kommuner;2;Pendlingskommun nära storstad;01;Stockholms län;Region Stockholm;;;;;;;;;;;;;;;;;;;;;;;
